instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,meta-llama/Llama-3.1-8B,4,12,570907776,705723271,134815495,1113899,12255263,11141839,"[11070513, 11191848, 11210696, 11250657, 11119146, 11119274, 11119370, 11119466, 11119626, 11119754, 11119882]"
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,827828328,780901520,0,11001055,11157977,"[11147313, 11147313, 11147313, 11147313, 11147313, 11147313, 11147313, 11147601, 11147889, 11148145, 11148401, 11148625, 11148881, 11149105, 11149297, 11149489, 11149681, 11149873, 11150065, 11150225, 11150417, 11150577, 11150737, 11150705, 11150673, 11150641, 11150609, 11190960, 11201753, 11201945, 11202169, 11202393, 11202585, 11202777, 11203001, 11203193, 11203385, 11203577, 11162696, 11241457, 11241457, 11241489, 11241521, 11241521, 11241553, 11241553, 11141364, 11070513, 11191848, 11210696, 11250657, 11119146, 11119274, 11119370, 11119466, 11119626, 11119754, 11119882, 11097982, 11098270, 11098526, 11098814, 11099070, 11099326, 11099550, 11099774, 11100030, 11100254, 11113461]"
0,7,meta-llama/Llama-3.1-8B,2,9,811936856,916813058,104876202,4778011,15891472,11123091,"[11096126, 11096382, 11096286, 11096158, 11096030, 11095902, 11095774, 11312072]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1250224857,770611336,2554907,13717603,11130790,"[11241457, 11241457, 11241489, 11241521, 11241521, 11241553, 11241553, 11141364, 11070513, 11191848, 11210696, 11250657, 11119146, 11119274, 11119370, 11119466, 11119626, 11119754, 11119882, 11097982, 11098270, 11098526, 11098814, 11099070, 11099326, 11099550, 11099774, 11100030, 11100254, 11113461, 11096126, 11096382, 11096286, 11096158, 11096030, 11095902, 11095774, 11312072, 11095774, 11095646, 11095486, 11095358, 11095262, 11095134, 11094974, 11094846, 11094718, 11094558, 11215533, 11117706, 11117738, 11117738, 11117770, 11117802, 11117770, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117770, 11117802, 11117770, 11117770, 11120010, 11122250]"
0,5,meta-llama/Llama-3.1-8B,15,63,604829893,1305698543,700868650,595507,11806203,11113910,"[11250657, 11119146, 11119274, 11119370, 11119466, 11119626, 11119754, 11119882, 11097982, 11098270, 11098526, 11098814, 11099070, 11099326, 11099550, 11099774, 11100030, 11100254, 11113461, 11096126, 11096382, 11096286, 11096158, 11096030, 11095902, 11095774, 11312072, 11095774, 11095646, 11095486, 11095358, 11095262, 11095134, 11094974, 11094846, 11094718, 11094558, 11215533, 11117706, 11117738, 11117738, 11117770, 11117802, 11117770, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117770, 11117802, 11117770, 11117770, 11120010, 11122250, 11090270, 11092542, 11094782, 11096958, 11099134]"
0,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1316777729,289807652,794737,12010270,11111895,"[11117706, 11117738, 11117738, 11117770, 11117802, 11117770, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117770, 11117802, 11117770, 11117770, 11120010, 11122250, 11090270, 11092542, 11094782, 11096958, 11099134, 11079186]"
0,1,meta-llama/Llama-3.1-8B,22,104,347938952,1516798451,1168859499,11011738,22202698,11132590,"[11201753, 11201945, 11202169, 11202393, 11202585, 11202777, 11203001, 11203193, 11203385, 11203577, 11162696, 11241457, 11241457, 11241489, 11241521, 11241521, 11241553, 11241553, 11141364, 11070513, 11191848, 11210696, 11250657, 11119146, 11119274, 11119370, 11119466, 11119626, 11119754, 11119882, 11097982, 11098270, 11098526, 11098814, 11099070, 11099326, 11099550, 11099774, 11100030, 11100254, 11113461, 11096126, 11096382, 11096286, 11096158, 11096030, 11095902, 11095774, 11312072, 11095774, 11095646, 11095486, 11095358, 11095262, 11095134, 11094974, 11094846, 11094718, 11094558, 11215533, 11117706, 11117738, 11117738, 11117770, 11117802, 11117770, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117770, 11117802, 11117770, 11117770, 11120010, 11122250, 11090270, 11092542, 11094782, 11096958, 11099134, 11079186, 11098897, 11100561, 11102193, 11103857, 11105489, 11107057, 11108625, 11110193, 11111729, 11113265, 11114737, 11116241, 11117713, 11119185, 11120625, 11122033, 11123473, 11124849]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1550649158,939835389,5822327,17072984,11117619,"[11119146, 11119274, 11119370, 11119466, 11119626, 11119754, 11119882, 11097982, 11098270, 11098526, 11098814, 11099070, 11099326, 11099550, 11099774, 11100030, 11100254, 11113461, 11096126, 11096382, 11096286, 11096158, 11096030, 11095902, 11095774, 11312072, 11095774, 11095646, 11095486, 11095358, 11095262, 11095134, 11094974, 11094846, 11094718, 11094558, 11215533, 11117706, 11117738, 11117738, 11117770, 11117802, 11117770, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117770, 11117802, 11117770, 11117770, 11120010, 11122250, 11090270, 11092542, 11094782, 11096958, 11099134, 11079186, 11098897, 11100561, 11102193, 11103857, 11105489, 11107057, 11108625, 11110193, 11111729, 11113265, 11114737, 11116241, 11117713, 11119185, 11120625, 11122033, 11123473, 11124849, 11282129, 11283569, 11285009]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1550649158,646804087,1655915,12967987,11119931,"[11095774, 11095646, 11095486, 11095358, 11095262, 11095134, 11094974, 11094846, 11094718, 11094558, 11215533, 11117706, 11117738, 11117738, 11117770, 11117802, 11117770, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117770, 11117802, 11117770, 11117770, 11120010, 11122250, 11090270, 11092542, 11094782, 11096958, 11099134, 11079186, 11098897, 11100561, 11102193, 11103857, 11105489, 11107057, 11108625, 11110193, 11111729, 11113265, 11114737, 11116241, 11117713, 11119185, 11120625, 11122033, 11123473, 11124849, 11282129, 11283569, 11285009]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1662909488,1075039225,6363289,17555137,11131411,"[11210696, 11250657, 11119146, 11119274, 11119370, 11119466, 11119626, 11119754, 11119882, 11097982, 11098270, 11098526, 11098814, 11099070, 11099326, 11099550, 11099774, 11100030, 11100254, 11113461, 11096126, 11096382, 11096286, 11096158, 11096030, 11095902, 11095774, 11312072, 11095774, 11095646, 11095486, 11095358, 11095262, 11095134, 11094974, 11094846, 11094718, 11094558, 11215533, 11117706, 11117738, 11117738, 11117770, 11117802, 11117770, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117802, 11117770, 11117802, 11117770, 11117770, 11120010, 11122250, 11090270, 11092542, 11094782, 11096958, 11099134, 11079186, 11098897, 11100561, 11102193, 11103857, 11105489, 11107057, 11108625, 11110193, 11111729, 11113265, 11114737, 11116241, 11117713, 11119185, 11120625, 11122033, 11123473, 11124849, 11282129, 11283569, 11285009, 11218833, 11220497, 11222097, 11223729, 11225297, 11226897, 11228433, 11230001, 11231505, 11233041]"
